pktTotalSize,pktMeanSize,pktVarSize,pktMinSize,serviceType,windowTotal,windowMean,windowVar,windowMin,windowMax,numberOfRstFlag,numberOfPshFlag,numberOfKeepAlive,numberOfSyncFlood,LABEL
5487,685.875,374.5,40,14563,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
6417,802.125,340.0,40,14564,11254,1406.75,1941.5,424,8190,0,1,0,0,Amazon
362,45.25,10.5,40,14505,6120,765.0,0.0,765,765,0,1,0,0,Amazon
5085,635.625,427.5,40,14575,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
5110,638.75,363.75,40,14576,26932,3366.5,6719.0,7,26883,0,4,0,0,Amazon
5103,637.875,362.0,40,14578,28460,3557.5,6666.0,219,26883,0,2,0,0,Amazon
5154,644.25,384.75,40,14580,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
5465,683.125,374.5,40,14582,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
5403,675.375,362.0,40,14581,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14584,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
5491,686.375,443.25,40,14583,28432,3554.0,6666.0,219,26883,0,3,0,0,Amazon
5103,637.875,362.0,40,14585,28461,3557.625,6666.0,219,26883,0,2,0,0,Amazon
6120,765.0,362.0,40,14586,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,14587,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6188,773.5,362.0,40,14594,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5342,667.75,359.0,40,14595,27653,3456.625,6693.25,110,26883,0,3,0,0,Amazon
5382,672.75,362.0,40,14596,67366,8420.75,16318.5,261,65535,0,2,0,0,Amazon
5382,672.75,362.0,40,14597,67366,8420.75,16318.5,261,65535,0,2,0,0,Amazon
5382,672.75,362.0,40,14598,66455,8306.875,16351.0,131,65535,0,2,0,0,Amazon
5103,637.875,371.75,40,14599,28448,3556.0,6666.0,219,26883,0,2,0,0,Amazon
6188,773.5,362.0,40,14600,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5425,678.125,362.0,40,14602,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5487,685.875,374.5,40,14601,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
6188,773.5,362.0,40,14603,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,14604,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14605,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6120,765.0,362.0,40,14606,29620,3702.5,7285.0,60,29200,0,1,0,0,Amazon
6188,773.5,362.0,40,14608,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14609,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14610,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14611,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
5103,637.875,371.75,40,14612,28440,3555.0,6666.0,219,26883,0,2,0,0,Amazon
6120,765.0,362.0,40,14615,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14613,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14614,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
5487,685.875,374.5,40,14616,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
6120,765.0,362.0,40,14617,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14618,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14619,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6624,828.0,340.0,40,14628,11254,1406.75,1941.5,424,8190,0,2,0,0,Amazon
6188,773.5,362.0,40,14629,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
5110,638.75,363.75,40,14630,26932,3366.5,6719.0,7,26883,0,4,0,0,Amazon
6188,773.5,362.0,40,14631,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,14632,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,14633,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,14634,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,14635,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,14636,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,14637,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14638,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14639,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6120,765.0,362.0,40,14640,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
6300,787.5,362.0,40,17061,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
